time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure
1/1/2023 0:00,83.4,119.2,1689,38,12.9,67,7.9,88,1.1,162,872.6
1/1/2023 1:00,82.2,117.6,1594,31.5,13.2,70,8,85,2.9,150,872.3
1/1/2023 2:00,80.8,115.7,1504,24.6,13.6,73,8,81,4.1,135,871.9
1/1/2023 3:00,78.2,112,1491,21.5,13.5,72,8.2,76,3.6,135,871.8
1/1/2023 4:00,75.7,108.5,1506,19.6,13.2,68,8.3,72,2.3,141,871.8
1/1/2023 5:00,75.4,108,1631,22.3,12.8,65,6.9,88,3.7,151,872.3
1/1/2023 6:00,78.5,112.5,1832,30.9,12.7,60,6.6,87,4.2,149,873.2
1/1/2023 7:00,84.5,121.1,2109,42.8,12.6,53,7.3,83,5.8,150,874.1
1/1/2023 8:00,88.5,126.7,2211,49.8,12.4,56,10.1,71,4.4,125,876
1/1/2023 9:00,71.5,104.1,1840,40,12.1,78,11.8,61,2.9,83,877.2
1/1/2023 10:00,70.3,103.6,1238,22.5,11.9,111,13,57,3.9,22,877.5
1/1/2023 11:00,69.8,103.6,596,3.8,11.4,145,13.9,52,6.5,3,876.8
1/1/2023 12:00,69.2,102.9,440,0,10.6,152,14.5,47,6.6,338,875.9
1/1/2023 13:00,64,95.7,429,0,9.8,150,14.8,45,8,324,874.9
1/1/2023 14:00,62.2,92.7,504,2.8,9,141,14.2,49,10.7,320,874.2
1/1/2023 15:00,62.4,92.7,580,8.8,8.9,132,13.3,55,10.8,323,873.7
1/1/2023 16:00,63.8,94.1,703,17.4,9.2,120,12.1,61,9,331,873.7
1/1/2023 17:00,66.8,96.2,872,25.2,8.9,105,10.4,70,5.2,326,873.5
1/1/2023 18:00,75,107.8,1083,32.3,9.4,94,10.2,75,3.7,349,874.4
1/1/2023 19:00,81,116.4,1382,42.3,10.2,79,10,76,3.7,11,875.1
1/1/2023 20:00,88.2,127.1,1713,52.2,11.1,62,9.2,81,3.1,36,875.3
1/1/2023 21:00,95.2,136.9,1845,54.2,11.4,56,8.3,85,3.6,84,875.2
1/1/2023 22:00,96.6,138.8,1921,53.5,11.8,52,7.4,89,2,135,874.3
1/1/2023 23:00,93.1,134.1,1918,48.8,12.1,53,6.7,92,2,135,873.7
1/2/2023 0:00,90.3,129.9,1795,41.6,12.6,59,6,93,2.5,135,872.8
1/2/2023 1:00,89.6,129,1593,31.7,13.1,70,6.2,87,2.3,141,872.4
1/2/2023 2:00,89.9,129.5,1372,21,13.2,81,5.8,86,2.3,141,871.5
1/2/2023 3:00,93.4,134.6,1307,17.1,12.5,84,5.5,85,2.6,146,871
1/2/2023 4:00,97.6,140.6,1286,15.3,11.3,85,5.5,84,3.4,148,870.9
1/2/2023 5:00,99.7,143.9,1692,22.9,13.4,65,4.8,95,3.1,159,871.5
1/2/2023 6:00,103.8,149.9,2143,34,13.1,65,4.8,95,2.3,162,872.1
1/2/2023 7:00,112.5,162.5,2771,49.7,12.6,65,5.9,93,3.3,167,873.5
1/2/2023 8:00,124.8,180.2,3108,59.2,11.4,72,9.7,77,2.3,162,876.2
1/2/2023 9:00,52.3,81.3,2514,47.1,9.9,89,11.8,63,0,270,877.4
1/2/2023 10:00,45.3,70.3,1488,25.3,8.2,112,13.4,57,1.9,292,877.7
1/2/2023 11:00,45.6,70.1,400,2,6.3,135,14.6,52,3.1,306,877.3
1/2/2023 12:00,46.1,70.1,179,0,5.8,141,15.9,45,5.6,320,876.3
1/2/2023 13:00,46.6,70.5,219,0,5.8,142,15.8,47,8.5,306,875.6
1/2/2023 14:00,47.3,71,368,2,5.9,136,15.3,47,9.4,302,874.9
1/2/2023 15:00,48.2,71.9,448,8.2,6.1,126,14.5,48,9.7,309,874.4
1/2/2023 16:00,52.5,76.6,570,17.2,6.4,112,13.2,55,6.6,319,874.4
1/2/2023 17:00,63.1,90.6,759,27.8,7.1,93,10.3,72,8.9,320,873.9
1/2/2023 18:00,70.1,100.6,973,35,7.4,82,9.4,75,6.4,333,874.6
1/2/2023 19:00,77.1,110.6,1280,45.3,7.9,65,9.1,79,7,339,875.4
1/2/2023 20:00,84.5,121.5,1677,57.5,8.7,46,9.3,79,2.7,113,875.9
1/2/2023 21:00,90.8,130.4,1951,64.4,9.3,36,8.1,83,3.3,131,875.8
1/2/2023 22:00,94.1,135,2218,70.2,9.9,28,5.5,90,3.8,131,874.3
